document_name,date,start_page,end_page,content,author,is_vocabulary
﻿The Hidden Habits of Genius ,2021-10-28 22:59:25,15,15,natural endowment versus hard work, Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-28 23:01:01,16,16,eidetic, Craig Wright  ,True
﻿The Hidden Habits of Genius ,2021-10-28 23:04:46,17,17,"Francis Galton, a cousin of Charles Darwin, in his book Hereditary Genius: An Inquiry into Its Laws and Consequences", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-28 23:06:45,18,18,akin, Craig Wright  ,True
﻿The Hidden Habits of Genius ,2021-10-28 23:06:51,18,18,"Talent may be heritable, but genius is not", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-28 23:09:43,19,19,"Perhaps the answer is to be found in the modern science of epigenetics. Epigenes (“outside the genes”) are small tags attached to each gene in our genome. Our growth, from birth to death, is subject to the workings of these “on or off switches,” for they control when and if our genes will express themselves. In simplest terms, genes are the nature side of things, epigenes the nurture. How we are nurtured, the environment in which we live, and how we control that environment and ourselves affect the activation of our genes. Again, epigenes are triggers of genetic development stimulated by the environment", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-28 23:11:32,20,20,No one ever changed the world with a forty-hour work week” (Elon Musk), Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-28 23:15:12,21,21,Practice is a result. The initial catalyst is the natural gift., Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-28 23:16:17,22,22,natural talent versus hard work is not a binary opposition. Genius is the product of both nature and nurture, Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-28 23:18:21,22,22,"Rose Period works, the Blue Period works, the Harlequins, early Cubist masterpieces, and early Collage", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-28 23:19:17,23,23,"Obviously there are two very different routes to creative genius, one immediately evident (gifts), the other more covert (laborious self-improvement", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-28 23:21:19,24,24,"in order to get to the pinnacle of what you choose to do, you must max out both", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-28 23:27:18,26,26,"An article by Wharton Business School professor Adam Grant, called “What Straight-A Students Get Wrong,” confirmed my suspicions. Published in the New York Times in December 2018, the essay argued that grades are not", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-28 23:28:27,26,26,more about finding the right problem to solve, Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-28 23:28:33,26,26,career success is rarely about finding the right solution to a problem—it’s more about finding the right problem to solve, Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-28 23:30:07,27,27,"More important, consider these false negatives—those geniuses who might not have done well on a standard IQ test and would not have been elected to Phi Beta Kappa. Charles Darwin’s early academic record was so poor that his father predicted he would be a disgrace to his family", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-28 23:31:11,27,27,Beethoven had trouble adding figures and never learned to multiply or divide. Walt Disney was a below-average student and often fell asleep in class, Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-28 23:32:14,28,28,instead of encouraging strategies that question a premise or rethink a concept in an ever-changing world. They validate hitting a predetermined target rather than creating a yet-unseen one, Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-28 23:32:38,28,28,"Although current standardized tests are efficient, they are too narrow in both intent and content to be predictors of success in life, let alone genius", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-28 23:35:19,29,29,"Many experts today believe that the only intelligence tally needed to excel in the sciences is a threshold IQ score of 115 to 125. After that, there is almost no correlation between additional IQ points and creative insights", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-28 23:38:17,30,30,"Do we privilege a system that rewards the natural gift of cognitive analysis (IQ) or one that values multiple character traits (MQ’s), including IQ? The number of false negative geniuses mentioned above—Beethoven, Darwin, Edison, Picasso, Disney, Jobs, and all the rest—suggests that genius is much more than IQ and that “smart” can mean many things. The challenge is to find a testing metric that discovers the hidden genius. Apposite here is a saying attributed to Einstein: “Everybody is a genius. But if you judge a fish by its ability to climb a tree, it will live its whole life believing that it is stupid.", Craig Wright  ,False
﻿The Harvard Business Review Entrepreneur’s Handbook ,2021-10-30 14:14:32,12,12,"a full understanding of a problem, new connections, and a vision or direction for a solution—there is no entrepreneurial venture.", Harvard Business Review  ,False
﻿The Harvard Business Review Entrepreneur’s Handbook ,2021-10-30 14:14:37,12,12,"Without those frst elements—a full understanding of a problem, new connections, and a vision or direction for a solution—there is no entrepreneurial venture.", Harvard Business Review  ,False
﻿The Harvard Business Review Entrepreneur’s Handbook ,2021-10-30 14:17:51,14,14,"you must know how to connect with people—and know when your tactics for connecting with them aren’t working, and switch to a tactic that will.", Harvard Business Review  ,False
﻿The Harvard Business Review Entrepreneur’s Handbook ,2021-10-30 14:17:59,12,12,"You need to feel comfortable reaching out to people you don’t know—sellers, . . . investors, your employees—and when you do reach out, you need to project an air of confdent optimism.", Harvard Business Review  ,False
﻿The Harvard Business Review Entrepreneur’s Handbook ,2021-10-30 14:19:06,15,15,one of the most common mistakes in selling a new offering was entrepreneurs’ failure to listen to their customers’ complaints about the product:, Harvard Business Review  ,False
﻿The Harvard Business Review Entrepreneur’s Handbook ,2021-10-30 14:19:33,15,15,Successful entrepreneurs know when to stick to their guns—and when to take the advice of others and shift course. They also know how to recognize when they’ve, Harvard Business Review  ,False
﻿The Harvard Business Review Entrepreneur’s Handbook ,2021-10-30 14:19:43,15,15,Successful entrepreneurs know when to stick to their guns—and when to take the advice of others and shift course., Harvard Business Review  ,False
﻿The Harvard Business Review Entrepreneur’s Handbook ,2021-10-30 14:20:25,16,16,Successful entrepreneurs are intrinsically motivated by the problems they see around them and the solutions that they envision; they can’t sit still while there’s work to be done (and there’s always more work to be done). They, Harvard Business Review  ,False
﻿The Harvard Business Review Entrepreneur’s Handbook ,2021-10-30 14:22:27,17,17,"They have the patience to see how customers respond to a product, its price, and the way it is served.", Harvard Business Review  ,False
﻿The Harvard Business Review Entrepreneur’s Handbook ,2021-10-30 14:23:10,18,18,successful entrepreneurs are willing to shift strategies quickly, Harvard Business Review  ,False
﻿The Harvard Business Review Entrepreneur’s Handbook ,2021-10-30 14:27:32,20,20,"What you must have is a solid plan, the ability to execute it, and a high degree of motivation—motivation that makes business success an important personal goal", Harvard Business Review  ,False
﻿The Harvard Business Review Entrepreneur’s Handbook ,2021-10-30 14:29:29,24,24,business opportunity primarily as a product or service that creates signifcant value for customers and offers signifcant proft potential to the entrepreneur, Harvard Business Review  ,False
﻿The Harvard Business Review Entrepreneur’s Handbook ,2021-10-30 14:31:21,25,25,"As you go, evaluate your confdence in your answers, and begin thinking about how you will test them", Harvard Business Review  ,False
﻿The Harvard Business Review Entrepreneur’s Handbook ,2021-10-30 14:31:45,25,25,Note that the questions don’t assume that the person using your offering is necessarily the customer paying for it—many businesses create a product for a user but are paid by a downstream customer like an advertiser. • What is the problem you are trying to solve for your customers or users, Harvard Business Review  ,False
﻿The Harvard Business Review Entrepreneur’s Handbook ,2021-10-30 14:32:50,26,26,"How many people have this problem? In other words, what is the size of the market? • Are your potential customers or users aware of this problem, or is the need latent, that is, undiscovered? • Is the market stable or growing? If it’s growing, at what annual rate? • How will your solution beneft customers or users? • What percentage of the total market could the product or service reasonably hope to capture over the next few years? • Is another product or service from competitors available to fll part of this demand? • Who exactly are the potential customers? Can you name them? Can you describe them? • How can you reach the potential customers and make a transaction—directly, on your own website or bricks-and-mortar location; through distributors like the Apple or Google app stores; or through already-existing retail channels? • How does the utility of the product or service compare with substitutes? For example, a tablet device is easier for a customer to carry around than a laptop. But it may not have all the functionality of the full computer.", Harvard Business Review  ,False
﻿The Harvard Business Review Entrepreneur’s Handbook ,2021-10-30 14:35:10,27,27,Market share, Harvard Business Review  ,False
﻿The Harvard Business Review Entrepreneur’s Handbook ,2021-10-30 14:35:43,27,27,The portion of a market controlled by a company, Harvard Business Review  ,False
﻿The Harvard Business Review Entrepreneur’s Handbook ,2021-10-30 14:39:51,29,29,"” Go out to your potential customers, vendors, and partners for feedback on the hypotheses in each part of your canvas.", Harvard Business Review  ,False
﻿The Harvard Business Review Entrepreneur’s Handbook ,2021-10-30 14:43:34,31,31,Timmons offers the following criteria for an opportunity worth pursuing, Harvard Business Review  ,False
﻿The Harvard Business Review Entrepreneur’s Handbook ,2021-10-30 14:43:45,31,31,"It creates signif cant value for customers, who are willing to pay a premium to solve a signifcant problem or f ll an important unmet need. 2. It offers signifcant proft potential to the entrepreneur and investors—enough to meet their risk-versus-reward expectations", Harvard Business Review  ,False
﻿The Harvard Business Review Entrepreneur’s Handbook ,2021-10-30 14:44:00,32,32,"represents a good ft with the capabilities of the founder and the management team—that is, the idea is something they have the experi ence and skills to pursue. 4. It is durable: the opportunity for profts will persist—and, indeed, will probably grow—over a reasonable time and is not based on a momentary fad or a quickly disappearing need.", Harvard Business Review  ,False
﻿The Hidden Habits of Genius ,2021-10-30 14:57:28,49,49,The difference is that geniuses create. They change the world through original thinking that alters the actions and values of society. Prodigies merely mimic, Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-31 23:33:01,54,54,ten-year-old Wolfgang had written nearly a hundred works of this sort on his own, Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-31 23:36:03,55,55,"Why do so few prodigies become creators? What causes, or at least precipitates, the emergence of great art? What impels the true genius to shoot for the target to which others are blind? Is a life crisis the precipitating event from which springs an artist voice or a scientific vision? Are independence and resilience forged in the crucible of an early-life trauma? Of course, as Yoko Ono said, “No one should encourage artists to pursue tragedy so that they might become a good artist.”17 But the number of geniuses who have lost a parent, most often a mother, at a critical age is striking: Michelangelo, Leonardo, Newton, Bach, Beethoven, Fyodor Dostoyevsky, Tolstoy, William Wordsworth, Abraham Lincoln, Mary Shelley, Clara Schumann, James Clerk Maxwell, Curie, Charlotte and Emily Brontë, Virginia Woolf, Sylvia Plath, Paul McCartney, and Oprah Winfrey", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-31 23:40:45,56,56,"Mentors can teach a young person how to network, assist in landing a job, offer praise and encouragement, and help the person move up the ladder of life.25 Success is the aim (and that’s what parents want). Mentors teach the status quo and how to mimic it but not how to create something new", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-31 23:43:22,57,57,"Einstein was an excellent student in STEM subjects, but, as my Yale colleague and Einstein biographer Professor Douglas Stone is quick to point out, “he was no prodigy", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-31 23:47:06,58,58,"The problem with the prodigy bubble is that it is filled with unmitigated positive reinforcement, adherence to strict rules, tolerance for nothing but perfection, attention to a single activity, and excessively attentive", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-31 23:47:46,58,58,"instead of training like a demon in a single ruledominated discipline, try what is suggested here and in later chapters. Work to develop independence of thought and action and the capacity to deal with failure—maybe the “a trophy for all” approach to life is not realistic", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-31 23:48:02,58,58,"instead of training like a demon in a single ruledominated discipline, try what is suggested here and in later chapters. Work to develop independence of thought and action and the capacity to deal with failure—maybe the “a trophy for all” approach to life is not realistic. Set a program of global learning instead of narrow specialization, and, most important, have as your goal developing the ability to learn not with mentors but alone.", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-31 23:52:34,60,60,ex nihilo, Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-31 23:57:56,61,61,Instead she was held captive by her imagination in what she called “a wakeful dream.”, Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-31 23:59:11,61,61,spring, Craig Wright  ,True
﻿The Hidden Habits of Genius ,2021-11-01 00:01:31,62,62,"both were young and imaginative, and both were afraid of things that went bump in the night", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-11-01 00:02:03,62,62,"The link between the geniuses Mary Shelley and J. K. Rowling: both were young and imaginative, and both were afraid of things that went bump in the night", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-11-01 00:03:01,63,63,"Pablo Picasso initially lost custody of his inner child and had to work to get it back. “Every child is an artist,” he said. “The problem is to remain an artist as we grow up", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-11-01 00:05:07,63,63,catalyst, Craig Wright  ,True
﻿The Hidden Habits of Genius ,2021-11-01 00:06:04,64,64,wit, Craig Wright  ,True
﻿The Hidden Habits of Genius ,2021-11-01 00:07:47,64,64,"For Einstein a sequence of “memory pictures” (Erinnerungsbilder) formed a “working tool” or “idea” that could later be expressed as mathematical formulas or as words. “I think that the transition from free association or ‘dreaming’ to thinking is characterized by the more or less preeminent role played by the idea. It is by no means necessary that an idea be tied to a sensorily cognizable and reproducible sign (word); but when this is the case, then thinking becomes thereby capable of being communicated.”15 Einstein called this mode of pictorial thinking first a “free play with ideas” and then simply “play” (Spiel", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-11-02 13:43:23,67,67,"Then there are Mozart’s musical canons such as the Latin “Difficile lectu mihi mars et jonicu,” which when heard as a homonym in a Viennese polyglot comes out as “Lech du mich in Arch et Cunjoni” (“Lick my ass and balls”).", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-11-02 13:43:36,67,67,"Childish, all this potty talk! But recall that stand-up comedians—Robin Williams, George Carlin, Richard Pryor, Mort Sahl, Lenny Bruce, Dave Chappelle, Sarah Silverman, Chris Rock, Amy Schumer, and so many others —were and are equally obscene", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-11-02 13:45:28,68,68,Jeff Bezos explained youthful creativity in these words: “You have to have a certain childlike ability to not be trapped by your expertise, Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-11-02 13:45:42,68,68,"Jeff Bezos explained youthful creativity in these words: “You have to have a certain childlike ability to not be trapped by your expertise. And that fresh look, that beginner’s mind, once you’re an expert, is unbelievably hard to maintain. But great inventors are always looking. They have a certain divine discontent. They may have seen something a thousand times and still, it occurs to them that that thing, even though they’re accustomed to it, could be improved.", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-11-02 13:47:48,69,69,"IN SUM, WHAT CAN WE CONCLUDE FROM THIS FORAY INTO THE minds of childlike geniuses over the centuries? That the least helpful thing we can say to our children, as well as to ourselves, is “Grow up!” Children’s bedtime stories, fairy tales with genies and godmothers, play toys and puppets, tree forts and dollhouses, recess, camps outside of school and home, and imaginary friends; adult play/work spaces, creative retreats, comedy hours, and the injunction to “go play with this idea”—these things allow us to retain or recapture our creative minds. The poet Charles Baudelaire got it right when he observed in 1863, “Genius is only childhood recovered at will.", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-11-02 13:49:13,70,70,wit, Craig Wright  ,True
﻿The Hidden Habits of Genius ,2021-11-02 13:49:36,70,70,Having set three hours of reading daily as her standard, Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-11-02 13:49:43,70,70,Elizabeth remained an autodidact for life, Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-11-02 13:52:16,71,71,"For geniuses, more than the rest of us, the desire to understand is tantamount to an itch. Great minds are annoyed by a mysterious problem and want a solution. “", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-11-02 13:53:03,72,72,Curious people want to bring comfort to a discomfort; there is a disjunction between what they see and what they know—and they feel compelled to reconcile the two., Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-11-02 13:54:11,72,72,"When asked to recall the information they had learned, subjects were far better at remembering those items about which they had expressed surprise.” Children remember more when they discover things themselves.6 Perhaps the way to learn is not to be taught, but to be curious", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-11-02 13:55:35,73,73,"Thus Leonardo belongs to the first of two types of curious individuals: those who learn experientially and those who learn vicariously by reading—in other words, those who do or", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-11-02 13:55:42,73,73,"Thus Leonardo belongs to the first of two types of curious individuals: those who learn experientially and those who learn vicariously by reading—in other words, those who do or discover and those who read about what others have done or discovered", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-11-02 17:45:59,73,73,He recorded all of his discoveries in what amounted to about thirteen thousand pages of notes and drawings, Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-11-02 17:51:41,77,77,"Why so few paintings from arguably the greatest artist of all time? Because once he had figured out how to do something, his curiosity drove him on to the next project. He had a greater desire to learn than he did to finish", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-11-02 17:53:33,78,78,"From poverty Winfrey rose to become a media mogul and the first African American billionaire. How did she do it? By continually working to improve herself, and others, through reading", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-11-02 17:59:44,82,82,"It was not unusual for him to read ten hours a day. If it was the weekend, he could go through two books in a day.", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-11-02 18:00:41,83,83,"The psychologist Susan Engel, the author of The Hungry Mind: The Origins of Curiosity in Childhood (2015), stated that curiosity, like intelligence, is mostly innate and a stable part of one’s personality: “From birth some children may be more likely to explore novel spaces, objects, and even people", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-11-02 18:01:47,83,83,"As to the incurious of this world: perhaps they did not begin life that way. Many evolutionary psychologists believe that humans are born curious but lose their innate inquisitiveness over time.48 But a childlike curiosity seems to always accompany a genius. As Albert Einstein said of himself in his later years, “I have no special talents. I am only passionately curious", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-11-02 18:03:50,84,84,", Einstein educated himself. At the age of twelve, he taught himself algebra and Euclidean geometry, and shortly thereafter integral and differential calculus. After he entered college, the self-schooling continued. The Polytechnic Institute in Zurich did not teach him what he was passionate to learn: cutting-edge physics. Thus Einstein, on his own, studied the electromagnetic equations of James Clerk Maxwell, the molecular structure of gases propounded by Ludwig Boltzmann, and the atomistic electric charges described by Hendrik Lorentz. After college, Einstein and two colleagues formed a club, the Olympia Academy, collectively to educate themselves, just as Franklin had done 170 years earlier with his Junto Club", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-11-02 18:04:42,85,85,"Students may receive information and learn methodologies in school, but the game changers of this world acquire the vast majority of what they know over time and on their own", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-11-02 18:05:58,85,85,The point is not to encourage dropping out but rather to observe that these transformative figures were somehow able to, Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-11-02 18:06:09,86,86,learn what they needed to know. Here successful people and geniuses share a common trait: most are lifelong learning addicts., Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-11-02 18:13:52,88,88,"Van Gogh tried various things before he found his passion. Only after pursuing careers as a gallery dealer, a teacher, a bookseller, and a street minister did he turn to art at age twentynine. His fellow painter Paul Gauguin spent six years as a seaman and then eleven as a stockbroker before painting became his sole passion at age thirty", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-11-02 18:16:45,90,90,"Around the age of twenty, Curie left behind her interest in literature and sociology and found her passion in math and physics. In 1891 she emigrated to France to attend the Faculté des Sciences of the Sorbonne to study graduate-level physics, having intensely self-educated until she was capable of passing the school’s entrance exam. She had no undergraduate diploma, was a foreigner, and was one of only 23 women among an entering class of 1,825.5", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-11-02 18:19:47,91,91,"If our passions drive us in ways that ultimately change society, that change is a mark of genius.", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-11-02 18:19:57,91,91,"If we are passionate and exceptionally talented at things of interest to others, such as singing on TV or throwing a football, the result may be instant celebrity. If our passions drive us in ways that ultimately change society, that change is a mark of genius.", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-11-02 18:21:17,92,92,"mind the original Latin root of the word “passion”: passio, which means “pain.", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-11-02 18:22:42,92,92,THE PHILOSOPHER JOHN STUART MILL OBSERVED IN HIS AUTOBIOGRAPHY that happiness is something that happens to us while we are pursuing some other purpose, Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-11-02 18:27:22,95,95,"AS THE STORIES OF NEWTON’S FOOL’S GOLD AND DOOMSDAY PREDICTION suggest, passion may sometimes lead the genius astray", Craig Wright  ,False
The Rare Metals War ,2021-11-03 23:34:53,66,66,"vanadium, germanium, platinoids, tungsten, antimony, beryllium, fluorine, rhenium, tantalum, niobium,", Guillaume Pitron,False
The Rare Metals War ,2021-11-03 23:36:01,71,73,"The same applies to the rarest of the rare metals. Eight and a half tonnes of rock need to be purified to produce a kilogram of vanadium; sixteen tonnes for a kilogram of cerium; fifty tonnes for the equivalent in gallium; and a staggering , tonnes for one miserable kilogram of the rarest of the rare metals: lutecium.", Guillaume Pitron,False
The Rare Metals War ,2021-11-03 23:36:37,75,75,"geological activity. Once processed industrially, a minute", Guillaume Pitron,False
The Rare Metals War ,2021-11-03 23:37:32,75,77,"Once processed industrially, a minute dose of these metals emits a magnetic field that makes it possible to generate more energy than the same quantity of coal or oil. And this is the key to ‘green capitalism’: the replacement of resources that emit billions of tonnes of carbon dioxide with resources that do not burn and therefore do not generate the slightest gram of it.", Guillaume Pitron,False
The Rare Metals War ,2021-11-03 23:39:08,90,91,"Recent history lends substance to his predictions: in the space of ten years, wind energy has increased seven-fold, and solar power by forty-four.", Guillaume Pitron,False
The Rare Metals War ,2021-11-03 23:46:01,133,135,"Great Britain dominated the nineteenth century, thanks to its hegemony over global coal production. Many of the events of the twentieth century can be seen through the lens of US and Saudi Arabian control over oil production and supply routes. In the twenty-first century, one state is in the process of dominating the export and consumption of rare metals. That state is China.", Guillaume Pitron,False
The Rare Metals War ,2021-11-03 23:46:47,140,143,"And so the West has placed the fate of its green and digital technologies — the cream of its industries of the future — in the hands of just one nation, while China is nurturing its own technologies and playing hardball with the rest of the world by putting a cap on the export of those resources. The result: serious economic and social consequences for the rest of the world.", Guillaume Pitron,False
The Rare Metals War ,2021-11-03 23:47:14,145,146,"At this rate, over the next thirty years we will need to mine more mineral ores than humans have extracted over the last , years.", Guillaume Pitron,False
The Rare Metals War ,2021-11-03 23:48:13,153,154,"By seeking to break free from fossil fuels and turn an old order into a new world, we are in fact setting ourselves up for a new and more potent dependence.", Guillaume Pitron,False
The Rare Metals War ,2021-11-03 23:49:41,161,161,"Today, rare metals are changing the world. Not only are they polluting the environment, but they are jeopardising", Guillaume Pitron,False
The Rare Metals War ,2021-11-03 23:49:42,161,161,"Today, rare metals are changing the world. Not only are they polluting the environment, but they are jeopardising", Guillaume Pitron,False
The Rare Metals War ,2021-11-03 23:49:47,161,162,"Today, rare metals are changing the world. Not only are they polluting the environment, but they are jeopardising economic stability and global security.", Guillaume Pitron,False
The Rare Metals War ,2021-11-03 23:56:41,186,188,"They are associated with abundant metals found in the Earth’s crust, but in minute proportions. For instance, there is , times less neodymium and up to , times less gallium than there is iron.", Guillaume Pitron,False
The Rare Metals War ,2021-11-03 23:57:14,191,192,"This makes these rare metals expensive: a kilogram of gallium is worth around US$ — that is, it is , times more expensive than iron. Germanium is ten times more expensive than gallium.", Guillaume Pitron,False
The Hidden Habits of Genius ,2021-11-04 00:01:12,96,96,"When Darwin returned to England in 1836, he focused on issues of evolution with an intensity that made him a workaholic to the day he died. Candidly listing his strengths and weaknesses in his autobiography, Darwin said this about his passion: “Far more important [than his capacity for observation], my love of natural sciences has been steady and ardent. This pure love has, however, been much aided by the ambition to be esteemed by my fellow naturalists", Craig Wright  ,False
The Hidden Habits of Genius ,2021-11-04 00:01:22,96,96,"When Darwin returned to England in 1836, he focused on issues of evolution with an intensity that made him a workaholic to the day he died. Candidly listing his strengths and weaknesses in his autobiography, Darwin said this about his passion: “Far more important [than his capacity for observation], my love of natural sciences has been steady and ardent. This pure love has, however, been much aided by the ambition to be esteemed by my fellow naturalists.”32 Thus Darwin had been born with a love for nature, but he had also developed a desire to prove himself the equal of the scientific superiors he had failed to impress at Edinburgh and Cambridge,", Craig Wright  ,False
The Hidden Habits of Genius ,2021-11-04 00:02:17,97,97,"Thomas Edison worked hard. According to his lab assistant Edward Johnson, Edison averaged eighteen hours a day at his desk:", Craig Wright  ,False
The Hidden Habits of Genius ,2021-11-04 00:02:47,97,97,"drove Edison’s passion? He had, even more than Darwin, a competitive ego.", Craig Wright  ,False
The Hidden Habits of Genius ,2021-11-04 00:03:00,97,97,"drove Edison’s passion? He had, even more than Darwin, a competitive ego. “I don’t care so much about making my fortune,” he said in 1878, “as I do for getting ahead of the other fellows”;37 and similarly in 1898, “If you want to succeed, get some enemies.", Craig Wright  ,False
